d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.0,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,0.0,1.0,0.0,1.0,1.0
3648.6764,0.0,nan,6.840896,nan,budget,14394,sink_only,3653.9026,2683.533,3429.047,3065.427,3861.018,2917.494,4305.265,4035.432,4245.592,0.0,0.3412,0.0,0.0057,0.0581
20.6809,0.0,nan,1.799756,0.03,budget,14394,streaming,25.9071,1680.036,125.481,28.78,22.273,16.004,11.921,11.816,12.741,0.0,0.5576,0.0,0.0315,0.5197
9.1237,0.0,nan,1.1485,0.06,budget,14394,streaming,14.3499,368.77,37.874,15.494,13.458,10.848,8.819,9.108,6.594,0.0,0.6569,0.0,0.0614,0.628
3.7645,0.0,nan,0.619687,0.125,budget,14394,streaming,8.9907,64.193,17.111,10.21,9.345,8.25,6.52,7.787,5.45,0.0,0.7557,0.0,0.1263,0.7411
12.2437,0.0,nan,1.38807,0.03,budget,14394,h2o,17.4699,57.05,42.602,24.461,17.926,13.797,12.248,12.627,11.364,0.0,0.5766,0.0004,0.0328,0.5469
6.1755,0.0,nan,0.919347,0.06,budget,14394,h2o,11.4017,43.004,25.269,13.136,10.548,9.241,8.211,8.159,8.443,0.0,0.672,0.0004,0.0627,0.646
2.4741,0.0,nan,0.468949,0.125,budget,14394,h2o,7.7003,26.708,13.302,8.168,7.175,6.725,6.271,7.139,5.321,0.0,0.7839,0.0004,0.1276,0.752
3.0005,0.0,nan,0.545325,0.03,budget,14394,snapkv,8.2267,11.993,8.478,8.126,8.33,8.792,7.81,8.384,5.665,0.0,0.7783,0.0,0.1267,0.7648
2.4312,0.0,nan,0.449954,0.06,budget,14394,snapkv,7.6574,11.993,8.478,8.126,8.125,8.254,6.911,7.859,5.276,0.0,0.7953,0.0,0.1346,0.7839
1.6961,0.0,nan,0.336925,0.125,budget,14394,snapkv,6.9223,11.993,8.473,7.6,7.247,6.944,5.971,7.278,5.089,0.0,0.8282,0.0,0.1677,0.8149
0.4503,0.0,nan,0.141608,0.03,budget,14394,oracle,5.6765,10.795,6.947,6.454,5.328,5.084,5.42,6.302,4.883,0.0,0.7931,0.0001,0.0347,0.8522
0.1359,0.0,nan,0.069441,0.06,budget,14394,oracle,5.3621,9.821,6.317,6.02,5.088,4.767,5.165,6.067,4.691,0.0,0.8639,0.0001,0.0646,0.9008
-0.0095,0.0,nan,0.027352,0.125,budget,14394,oracle,5.2167,8.914,5.972,5.797,4.969,4.668,5.072,5.936,4.634,0.0,0.9247,0.0001,0.1293,0.9386
