layer,qhead,domain,n_steps,d_mean,d_ratio,D,tight_frac,selfloop,H0,H1,dH,dH_move,hub_id,hub_mass,hub_key_frac,hub_ws_frac,hub_pos_mean,tight_in_hub,esc_pct,h_esc,h_st_esc,f_step,local_mass,cov2_oracle,cov2_flow,cov2_static,cov2_recency,cov4_oracle,cov4_flow,cov4_static,cov4_recency,cov8_oracle,cov8_flow,cov8_static,cov8_recency
0,0,code,19960,7.9949,1.373,11.4287,0.0,0.1112,5.5644,4.707,0.8574,0.736,5,0.167,0.0173,0.194,0.314,0.0,0.984,0.64,0.578,1.474,0.086,0.594,0.228,0.208,0.242,0.773,0.519,0.53,0.447,0.92,0.596,0.537,0.697
0,0,dialogue,19960,7.4333,1.276,11.4287,0.0,0.1112,5.5644,4.707,0.8574,0.736,5,0.167,0.013,0.088,0.281,0.0,0.992,0.874,0.69,1.35,0.083,0.641,0.193,0.138,0.185,0.813,0.626,0.612,0.408,0.943,0.724,0.619,0.722
0,0,fiction,19960,6.9922,1.201,11.4287,0.0,0.1112,5.5644,4.707,0.8574,0.736,5,0.167,0.0182,0.028,0.281,0.0,0.989,0.623,0.619,1.345,0.117,0.514,0.228,0.225,0.214,0.712,0.505,0.515,0.406,0.894,0.609,0.532,0.674
0,0,math,19960,7.109,1.221,11.4287,0.0,0.1112,5.5644,4.707,0.8574,0.736,5,0.167,0.0169,0.127,0.322,0.0,0.983,0.77,0.72,1.449,0.095,0.573,0.242,0.22,0.215,0.773,0.589,0.604,0.402,0.918,0.7,0.637,0.64
0,0,news,19960,6.6843,1.148,11.4287,0.0,0.1112,5.5644,4.707,0.8574,0.736,5,0.167,0.0412,0.058,0.292,0.0,0.976,0.808,0.61,1.399,0.079,0.563,0.365,0.359,0.191,0.762,0.637,0.623,0.365,0.917,0.741,0.677,0.619
0,0,val,5988,5.8243,1.0,11.4287,0.0,0.1112,5.5644,4.707,0.8574,0.736,5,0.167,0.0412,0.0,0.264,0.0,0.994,0.609,0.575,1.59,0.073,0.432,0.254,0.26,0.137,0.632,0.468,0.455,0.265,0.828,0.659,0.633,0.473
0,1,code,19960,9.4912,1.142,11.7444,0.0,0.2894,5.8064,2.8325,2.9738,2.9304,33,0.047,0.0109,0.041,0.038,0.0,0.944,0.745,0.064,0.769,0.336,0.597,0.441,0.308,0.497,0.765,0.635,0.352,0.704,0.892,0.804,0.417,0.847
0,1,dialogue,19960,8.8176,1.061,11.7444,0.0,0.2894,5.8064,2.8325,2.9738,2.9304,33,0.047,0.0192,0.055,0.04,0.0,0.953,0.863,0.086,0.586,0.28,0.561,0.437,0.29,0.454,0.729,0.647,0.343,0.669,0.867,0.81,0.435,0.83
0,1,fiction,19960,8.2854,0.997,11.7444,0.0,0.2894,5.8064,2.8325,2.9738,2.9304,33,0.047,0.0211,0.002,0.038,0.0,0.962,0.862,0.08,0.687,0.277,0.554,0.419,0.286,0.441,0.721,0.63,0.334,0.66,0.861,0.8,0.423,0.826
0,1,math,19960,8.8798,1.068,11.7444,0.0,0.2894,5.8064,2.8325,2.9738,2.9304,33,0.047,0.0102,0.0,0.04,0.0,0.941,0.673,0.062,0.87,0.315,0.608,0.418,0.309,0.491,0.775,0.603,0.356,0.707,0.9,0.779,0.412,0.851
