layer,qhead,domain,n_steps,d_mean,d_ratio,D,tight_frac,selfloop,H0,H1,dH,dH_move,hub_id,hub_mass,hub_key_frac,hub_ws_frac,hub_pos_mean,tight_in_hub,esc_pct,h_esc,h_st_esc,f_step,local_mass,cov2_oracle,cov2_flow,cov2_static,cov2_recency,cov4_oracle,cov4_flow,cov4_static,cov4_recency,cov8_oracle,cov8_flow,cov8_static,cov8_recency
0,0,code,19960,6.1224,0.942,14.6414,0.0,0.8715,5.9873,0.7458,5.2416,4.8677,1,0.02,0.018,0.493,0.376,0.0,0.39,0.998,0.058,0.143,0.807,0.912,0.893,0.766,0.893,0.96,0.947,0.775,0.933,0.984,0.976,0.792,0.955
0,0,dialogue,19960,6.2403,0.961,14.6414,0.0,0.8715,5.9873,0.7458,5.2416,4.8677,1,0.02,0.018,0.321,0.375,0.0,0.387,0.999,0.051,0.141,0.808,0.905,0.883,0.764,0.883,0.95,0.936,0.774,0.92,0.979,0.969,0.791,0.946
0,0,fiction,19960,6.0878,0.937,14.6414,0.0,0.8715,5.9873,0.7458,5.2416,4.8677,1,0.02,0.0186,0.209,0.376,0.0,0.404,0.994,0.056,0.145,0.807,0.898,0.877,0.762,0.877,0.948,0.932,0.771,0.918,0.979,0.969,0.789,0.947
0,0,math,19960,6.2553,0.963,14.6414,0.0,0.8715,5.9873,0.7458,5.2416,4.8677,1,0.02,0.0186,0.291,0.376,0.0,0.396,0.997,0.053,0.145,0.808,0.902,0.881,0.765,0.882,0.95,0.935,0.774,0.921,0.979,0.97,0.792,0.948
0,0,news,19960,6.6516,1.024,14.6414,0.0,0.8715,5.9873,0.7458,5.2416,4.8677,1,0.02,0.0178,0.123,0.376,0.0,0.377,0.987,0.051,0.143,0.816,0.897,0.874,0.774,0.874,0.944,0.928,0.784,0.912,0.976,0.966,0.801,0.941
0,0,val,5988,6.4967,1.0,14.6414,0.0,0.8715,5.9873,0.7458,5.2416,4.8677,1,0.02,0.0188,0.168,0.376,0.0,0.406,0.992,0.053,0.14,0.807,0.89,0.866,0.766,0.866,0.94,0.922,0.776,0.905,0.974,0.964,0.794,0.937
0,1,code,19960,5.4406,1.335,8.7934,0.0,0.0896,5.5596,4.8457,0.7139,0.6515,59,0.105,0.056,0.068,0.41,0.0,0.997,0.093,0.011,2.305,0.099,0.455,0.188,0.193,0.177,0.654,0.26,0.219,0.329,0.84,0.361,0.339,0.579
0,1,dialogue,19960,5.0674,1.244,8.7934,0.0,0.0896,5.5596,4.8457,0.7139,0.6515,59,0.105,0.0483,0.06,0.382,0.0,0.992,0.339,0.071,2.234,0.094,0.639,0.162,0.151,0.135,0.771,0.302,0.168,0.286,0.897,0.566,0.669,0.591
0,1,fiction,19960,5.0677,1.244,8.7934,0.0,0.0896,5.5596,4.8457,0.7139,0.6515,59,0.105,0.0452,0.198,0.447,0.0,0.994,0.204,0.007,2.015,0.13,0.392,0.189,0.198,0.176,0.586,0.283,0.229,0.321,0.798,0.406,0.35,0.565
0,1,math,19960,4.9289,1.21,8.7934,0.0,0.0896,5.5596,4.8457,0.7139,0.6515,59,0.105,0.0496,0.093,0.38,0.0,0.996,0.298,0.21,2.153,0.109,0.398,0.217,0.23,0.171,0.599,0.335,0.328,0.318,0.811,0.461,0.436,0.558
0,1,news,19960,4.7298,1.161,8.7934,0.0,0.0896,5.5596,4.8457,0.7139,0.6515,59,0.105,0.0648,0.117,0.384,0.0,0.995,0.299,0.182,2.094,0.1,0.426,0.291,0.307,0.16,0.604,0.406,0.375,0.299,0.801,0.513,0.484,0.534
0,1,val,5988,4.0746,1.0,8.7934,0.0,0.0896,5.5596,4.8457,0.7139,0.6515,59,0.105,0.0441,0.0,0.341,0.0,0.996,0.334,0.301,2.057,0.099,0.354,0.197,0.198,0.134,0.539,0.326,0.314,0.245,0.75,0.518,0.494,0.442
0,2,code,19960,6.5833,1.22,9.7899,0.0,0.1487,5.7225,4.0612,1.6613,1.5915,29,0.154,0.0046,0.043,0.073,0.0,0.962,0.359,0.029,1.13,0.253,0.557,0.246,0.224,0.399,0.739,0.388,0.256,0.604,0.887,0.624,0.366,0.78
0,2,dialogue,19960,6.0737,1.126,9.7899,0.0,0.1487,5.7225,4.0612,1.6613,1.5915,29,0.154,0.0367,0.0,0.078,0.0,0.956,0.693,0.479,1.164,0.215,0.532,0.355,0.263,0.323,0.743,0.569,0.471,0.559,0.902,0.767,0.647,0.787
0,2,fiction,19960,5.6774,1.052,9.7899,0.0,0.1487,5.7225,4.0612,1.6613,1.5915,29,0.154,0.0311,0.005,0.077,0.0,0.948,0.696,0.53,1.279,0.197,0.53,0.343,0.255,0.289,0.736,0.567,0.484,0.519,0.891,0.769,0.655,0.748
0,2,math,19960,6.0834,1.127,9.7899,0.0,0.1487,5.7225,4.0612,1.6613,1.5915,29,0.154,0.0083,0.0,0.076,0.0,0.967,0.387,0.164,1.332,0.241,0.54,0.252,0.219,0.349,0.74,0.405,0.327,0.571,0.899,0.649,0.431,0.791
0,2,news,19960,5.7157,1.059,9.7899,0.0,0.1487,5.7225,4.0612,1.6613,1.5915,29,0.154,0.04,0.0,0.079,0.0,0.924,0.788,0.359,1.183,0.208,0.541,0.396,0.287,0.305,0.734,0.606,0.443,0.523,0.89,0.801,0.673,0.732
0,2,val,5988,5.3963,1.0,9.7899,0.0,0.1487,5.7225,4.0612,1.6613,1.5915,29,0.154,0.0429,0.0,0.086,0.0,0.942,0.723,0.361,1.453,0.204,0.515,0.366,0.274,0.263,0.7,0.561,0.417,0.448,0.861,0.754,0.638,0.652
0,3,code,19960,6.0103,1.27,6.7228,0.0,0.09,5.7626,5.043,0.7197,0.6157,8,0.175,0.0392,0.324,0.639,0.0,0.988,0.317,0.267,1.703,0.107,0.497,0.158,0.154,0.216,0.689,0.326,0.305,0.383,0.858,0.531,0.411,0.607
0,3,dialogue,19960,5.5249,1.167,6.7228,0.0,0.09,5.7626,5.043,0.7197,0.6157,8,0.175,0.0468,0.177,0.602,0.0,0.998,0.413,0.29,1.687,0.102,0.421,0.139,0.137,0.154,0.63,0.305,0.287,0.299,0.836,0.588,0.573,0.524
0,3,fiction,19960,5.0662,1.071,6.7228,0.0,0.09,5.7626,5.043,0.7197,0.6157,8,0.175,0.0728,0.183,0.582,0.0,0.998,0.62,0.576,1.534,0.097,0.421,0.185,0.181,0.16,0.641,0.411,0.393,0.303,0.847,0.673,0.663,0.532
0,3,math,19960,5.3461,1.13,6.7228,0.0,0.09,5.7626,5.043,0.7197,0.6157,8,0.175,0.0653,0.182,0.579,0.0,0.997,0.502,0.46,1.66,0.106,0.419,0.194,0.194,0.161,0.625,0.386,0.37,0.303,0.825,0.613,0.589,0.525
0,3,news,19960,5.3186,1.124,6.7228,0.0,0.09,5.7626,5.043,0.7197,0.6157,8,0.175,0.076,0.08,0.559,0.0,0.997,0.748,0.767,1.58,0.106,0.39,0.215,0.214,0.131,0.59,0.436,0.406,0.252,0.782,0.62,0.6,0.454
0,3,val,5988,4.7326,1.0,6.7228,0.0,0.09,5.7626,5.043,0.7197,0.6157,8,0.175,0.0651,0.013,0.517,0.0,0.999,0.578,0.574,1.733,0.108,0.38,0.21,0.211,0.11,0.56,0.382,0.355,0.212,0.747,0.563,0.544,0.389
0,4,code,19960,6.7846,1.35,8.0523,0.0,0.1937,5.7516,3.6579,2.0937,1.7416,13,0.117,0.0354,0.704,0.127,0.0,0.946,0.636,0.443,1.121,0.217,0.558,0.416,0.326,0.367,0.747,0.561,0.471,0.57,0.89,0.688,0.566,0.763
0,4,dialogue,19960,5.8462,1.163,8.0523,0.0,0.1937,5.7516,3.6579,2.0937,1.7416,13,0.117,0.042,0.513,0.117,0.0,0.941,0.748,0.584,1.217,0.203,0.567,0.445,0.337,0.333,0.743,0.616,0.519,0.532,0.883,0.749,0.674,0.724
0,4,fiction,19960,5.8349,1.161,8.0523,0.0,0.1937,5.7516,3.6579,2.0937,1.7416,13,0.117,0.0476,0.385,0.122,0.0,0.936,0.775,0.621,1.278,0.191,0.594,0.45,0.334,0.327,0.758,0.636,0.535,0.536,0.892,0.778,0.716,0.725
